id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
13767455,Blue room: Private room 10min walking to Acropolis,ΝΕΟΣ ΚΟΣΜΟΣ,37.96314,23.72848,Private room in rental unit,Private room,2,1.0,1.0,16.0,2,1125,4.55,4.78,4.35,4.82,4.87,4.82,4.76,True,22042619
13774384,A very cute little appartment to love! ΑΜΑ:23129,ΒΟΤΑΝΙΚΟΣ,37.97919,23.70707,Entire rental unit,Entire home/apt,3,1.0,2.0,37.0,2,365,4.97,4.97,4.93,5.0,4.99,4.81,4.95,True,80838034
13790157,Artist's 1930s home with garden in central Athens,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98898,23.73793,Entire rental unit,Entire home/apt,3,1.0,1.0,64.0,2,1125,4.96,4.92,4.97,4.93,4.97,4.85,4.92,False,5812102
13812118,"COZY APARTMENT IN PLAKA, WALK TO ACROPOLIS",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97356,23.7284,Entire rental unit,Entire home/apt,4,1.0,2.0,66.0,2,1125,4.97,4.97,4.94,4.97,4.99,4.97,4.92,False,70896826
13813140,"Cozy Athenian Flat in Neapolis, Athens center",ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.986347,23.74194,Entire condominium (condo),Entire home/apt,2,1.0,1.0,44.0,2,180,4.9,4.95,5.0,4.98,5.0,4.73,4.88,False,72068705
13824992,Boutique Rustic Apartment with Amazing Terrace,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9791,23.7246,Entire rental unit,Entire home/apt,3,1.0,2.0,141.0,2,1125,4.96,5.0,4.85,5.0,5.0,5.0,4.93,False,260897
13825644,LAVENDER  Luxury Apartment a stroll to Parthenon,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96461,23.72187,Entire rental unit,Entire home/apt,4,2.0,2.0,123.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,81478500
13831960,Classy roof top apt in Athens heart,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97684,23.73208,Entire rental unit,Entire home/apt,6,2.0,3.0,60.0,2,1125,4.89,4.91,4.92,4.98,4.96,4.99,4.89,True,81573961
13833315,"Makrigianni, near acropole",ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96676,23.72733,Entire rental unit,Entire home/apt,4,1.0,1.0,49.0,4,15,,,,,,,,False,81589973
13835153,"House under the Acropolis Plaka,Historic Centre",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.974,23.72712,Entire residential home,Entire home/apt,4,1.0,2.0,100.0,3,1125,5.0,4.85,4.92,5.0,4.46,5.0,4.69,False,9281903
13837989,"A for Akropolis studio in Plaka, pedestrian view!!",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.96981,23.7308,Entire rental unit,Entire home/apt,2,1.0,1.0,69.0,2,1125,4.75,4.85,4.86,4.65,4.83,4.99,4.83,False,46909193
13842245,"""Plaka’s heArt"" cozy flat in the heart of Plaka",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97134,23.73146,Entire rental unit,Entire home/apt,3,1.0,2.0,36.0,1,1125,4.89,4.93,4.94,4.96,4.96,4.99,4.89,True,65341135
13843004,A cozy nest in center Athens,ΑΜΠΕΛΟΚΗΠΟΙ,37.99092,23.76701,Entire rental unit,Entire home/apt,2,1.0,2.0,32.0,1,90,4.8,4.84,4.79,4.94,4.94,4.84,4.79,True,72297371
13854508,Central Athens Balcony Apartment 3,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99504,23.72718,Entire rental unit,Entire home/apt,6,2.0,3.0,31.0,2,365,4.85,4.88,4.82,4.95,4.97,4.47,4.86,True,39042147
13860639,Orange room: Private room 10 min walk to Acropolis,ΝΕΟΣ ΚΟΣΜΟΣ,37.96306,23.7286,Private room in rental unit,Private room,2,1.0,1.0,15.0,2,1125,4.52,4.75,4.41,4.84,4.88,4.8,4.66,True,22042619
13870961,real athenes renovated flat,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96244,23.72278,Entire rental unit,Entire home/apt,4,2.0,5.0,72.0,3,1125,,,,,,,,True,30825029
13872360,Stylish flat under Acropolis,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96824,23.72546,Entire rental unit,Entire home/apt,4,2.0,3.0,59.0,1,1125,4.81,4.9,4.84,4.78,4.9,4.94,4.84,True,1621474
13874631,Cosy flat with backyard in the heart of Athens,ΣΤΑΔΙΟ,37.96674,23.73673,Entire rental unit,Entire home/apt,4,1.0,2.0,75.0,4,1125,4.93,4.98,4.95,5.0,4.96,4.87,4.92,False,64296406
13875461,ATHENS VIEW LOFT - 02,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96901,23.72986,Entire rental unit,Entire home/apt,2,1.0,2.0,83.0,2,1125,5.0,5.0,5.0,5.0,5.0,4.75,4.75,True,75211014
13876189,ATHENS VIEW LOFT - 03,ΖΑΠΠΕΙΟ,37.96788,23.73577,Entire rental unit,Entire home/apt,3,1.0,1.0,94.0,2,1125,4.8,5.0,5.0,5.0,5.0,4.6,4.8,True,75211014
13876561,ATHENS VIEW LOFT - 04,ΣΤΑΔΙΟ,37.96597,23.74498,Entire rental unit,Entire home/apt,2,1.0,1.0,75.0,2,1125,5.0,4.86,5.0,5.0,5.0,5.0,4.86,True,75211014
13876975,ATHENS VIEW LOFT - 05,ΠΑΓΚΡΑΤΙ,37.96591,23.75299,Entire rental unit,Entire home/apt,2,1.0,1.0,60.0,2,364,4.5,5.0,5.0,4.5,4.0,5.0,4.5,True,75211014
13877247,ATHENS VIEW LOFT - 06,ΠΑΓΚΡΑΤΙ,37.96653,23.75432,Entire rental unit,Entire home/apt,3,1.0,2.0,75.0,2,1125,4.83,4.67,4.5,5.0,4.67,4.83,4.67,True,75211014
13885525,Lux flat with private roof garden & fiber internet,ΝΙΡΒΑΝΑ,38.01048,23.72308,Entire rental unit,Entire home/apt,4,1.0,2.0,60.0,4,90,4.92,5.0,4.94,5.0,4.83,4.69,4.83,False,79817317
13890217,Central Luxury Suite with Acropolis View&Jacuzzi,ΒΟΤΑΝΙΚΟΣ,37.97887,23.70891,Entire rental unit,Entire home/apt,4,1.0,2.0,72.0,1,1125,4.64,4.52,4.8,4.85,4.88,4.67,4.49,True,18760819
13906219,"Luxury Homing Athens, Hilton area - Acropolis view",ΠΑΓΚΡΑΤΙ,37.97333,23.74789,Entire rental unit,Entire home/apt,4,2.0,3.0,95.0,4,30,4.93,4.89,4.98,4.96,5.0,4.91,4.74,False,19165645
13910420,mari's home,ΝΕΟΣ ΚΟΣΜΟΣ,37.95889,23.72458,Entire rental unit,Entire home/apt,4,1.0,1.0,67.0,2,1125,,,,,,,,True,82505856
13911174,Luxury Apartment in Athens Center,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98862,23.73623,Entire rental unit,Entire home/apt,5,1.0,2.0,70.0,3,1125,,,,,,,,False,73490175
13912611,The monumental house- Blue piano room,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97679,23.73015,Private room in residential home,Private room,2,1.0,1.0,28.0,2,1125,4.76,4.89,4.77,4.94,4.95,4.96,4.86,False,3857054
13919907,Sleeps 9 | 2min to Metro | Kolonaki/Downtown,ΚΟΛΩΝΑΚΙ,37.97829,23.74995,Entire rental unit,Entire home/apt,9,2.0,5.0,120.0,2,1125,4.18,4.0,4.17,4.61,4.56,4.67,4.33,True,30762536
13951605,Quiet Retreat on Foodie Street,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97335,23.73313,Entire rental unit,Entire home/apt,2,1.0,2.0,45.0,3,60,4.89,4.96,4.93,4.98,4.95,4.99,4.86,False,83058146
13968227,Happy Home,ΝΕΟΣ ΚΟΣΜΟΣ,37.95627,23.72056,Entire rental unit,Entire home/apt,5,2.0,3.0,50.0,1,90,5.0,5.0,5.0,5.0,5.0,4.88,4.88,True,83261475
13972503,The monumental house -Red room,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97677,23.73005,Private room in residential home,Private room,2,1.0,1.0,28.0,2,1125,4.77,4.87,4.81,4.93,4.93,4.97,4.82,False,3857054
13972997,Ανετο διαμερισμα στο Κεντρο.Αττικη,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,38.0019,23.72637,Entire rental unit,Entire home/apt,2,1.0,1.0,25.0,4,1125,,,,,,,,False,13387084
