id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
52513926,Conveniently located 3-Bedroom home,78757,30.3638,-97.7305,Entire home,Entire home/apt,8,3.0,3.0,320.0,2,365,5.0,5.0,5.0,5.0,5.0,4.67,5.0,True,79175353
52514375,Light-filled garage apartment in East Austin,78702,30.27783,-97.71682,Entire residential home,Entire home/apt,2,1.0,1.0,164.0,2,365,4.67,5.0,5.0,4.67,5.0,5.0,4.67,False,713492
52515033,Pet Friendly Apartment with a Pool in Awesome Location close to Mueller,78722,30.29467,-97.71657,Entire rental unit,Entire home/apt,6,2.0,3.0,94.0,1,1125,4.42,4.67,4.63,4.83,4.54,4.71,4.38,True,272515104
52516020,Chic 2 BR Home | Spacious Backyard | Close to SoCo,78704,30.22677,-97.76529,Entire residential home,Entire home/apt,4,2.0,2.0,300.0,3,1125,5.0,5.0,4.5,5.0,5.0,5.0,4.5,False,21427536
52516752,Modern South Austin home -  5 miles to Downtown,78745,30.20334,-97.77611,Entire residential home,Entire home/apt,10,4.0,6.0,565.0,2,1125,4.6,4.7,5.0,4.9,4.8,3.9,4.3,True,292877205
52517803,"Stylishly remodeled, open-concept home",78750,30.45775,-97.8125,Entire residential home,Entire home/apt,6,3.0,4.0,182.0,2,90,4.92,4.92,5.0,4.92,4.83,4.67,4.92,False,401598130
52518227,"Prime location downtown studio WITH GARAGE, kayaks",78702,30.25574,-97.73438,Entire guesthouse,Entire home/apt,2,1.0,1.0,240.0,2,28,5.0,5.0,5.0,5.0,5.0,5.0,4.0,False,51075016
52519757,Modern Boho Heart of Downtown ATX APT+Gym & Lounge,78702,30.26145,-97.72504,Entire rental unit,Entire home/apt,5,2.0,3.0,231.0,1,1125,4.86,4.81,4.86,4.57,4.9,4.95,4.76,True,394675895
52525602,A place to call home | 2BR in Austin,78746,30.25722,-97.79513,Entire serviced apartment,Entire home/apt,5,2.0,2.0,219.0,31,365,,,,,,,,True,368944610
52527731,Downtown Retreat Walkable with Parking Sleeps 6-10,78703,30.27801,-97.75327,Entire residential home,Entire home/apt,10,3.0,6.0,499.0,3,365,5.0,5.0,5.0,5.0,5.0,5.0,4.94,True,425153811
52527843,#2 Austin Hill Country Cottages. Light & Beautiful,78737,30.21405,-97.98428,Entire guesthouse,Entire home/apt,2,,1.0,105.0,2,1125,4.91,4.91,5.0,5.0,5.0,5.0,4.91,False,76672218
52528629,Breathtaking Views From Lavish Lake Travis Condo!,78734,30.4316,-97.93873,Entire condominium (condo),Entire home/apt,6,3.0,5.0,150.0,30,180,5.0,5.0,5.0,5.0,5.0,4.0,4.5,True,44368247
52528723,Modern Cherrywood Music Cottage,78722,30.28582,-97.71669,Entire residential home,Entire home/apt,4,2.0,2.0,181.0,2,90,5.0,5.0,4.94,5.0,4.94,4.89,4.94,False,31698306
52528958,Panoramic Skyline Views-6 month minimum,78702,30.26653,-97.73188,Entire condominium (condo),Entire home/apt,5,2.0,2.0,220.0,90,365,,,,,,,,False,1157982
52529691,South Austin Condo Walking distance to downtown!,78746,30.2618,-97.78813,Entire condominium (condo),Entire home/apt,3,1.0,1.0,167.0,1,14,4.75,4.5,4.25,4.5,4.25,4.5,4.0,True,86935096
52530821,#3 Austin Hill Country Cottages. Private Backyard!,78737,30.21492,-97.9847,Entire guesthouse,Entire home/apt,4,1.0,2.0,208.0,2,1125,5.0,4.88,5.0,5.0,5.0,5.0,5.0,False,76672218
52531835,Funky Downtown Austin Skoolie,78746,30.26093,-97.78721,Bus,Entire home/apt,5,2.0,3.0,150.0,2,14,5.0,4.5,5.0,5.0,5.0,5.0,5.0,False,86935096
52532038,Little Penthouse in Clarksville,78703,30.28395,-97.75952,Entire rental unit,Entire home/apt,5,2.0,3.0,234.0,1,365,4.8,4.8,4.6,4.8,4.4,5.0,4.4,True,28522059
52532210,Apt next to Zilker & close to Convention Center,78746,30.26582,-97.76448,Private room in condominium (condo),Private room,2,2.0,2.0,361.0,1,7,,,,,,,,True,6287990
52533575,Stunning 4-bedroom house with POOL!,78745,30.21027,-97.78344,Entire residential home,Entire home/apt,12,4.0,4.0,764.0,2,1125,4.25,4.5,4.0,4.5,4.75,4.25,4.25,False,95954937
52533883,Brand New 3 Bedroom home - 15min from Downtown!,78754,30.36068,-97.66459,Entire residential home,Entire home/apt,6,3.0,3.0,367.0,1,1125,5.0,5.0,5.0,5.0,5.0,4.86,4.86,True,102919018
52533936,"Family-Friendly Home w/ Private Pool and Hot Tub, High-Speed WiFi, & Central AC",78734,30.36869,-97.9151,Entire residential home,Entire home/apt,10,5.0,6.0,679.0,2,365,5.0,4.83,5.0,5.0,5.0,4.83,4.83,True,26497220
